GSM329408	GSM329409	GSM329410	GSM329411	GSM329414	GSM329417	GSM329419	GSM329421	GSM329425	GSM329427
GAPVD1	10.7572	9.3268	10.1642	10.7249	10.2635	10.3882	10.3501	10.516	11.0697	11.2706
GAR1	11.9867	11.3027	12.429	10.8127	12.1053	12.0319	10.9361	10.2059	11.0498	10.9013
GAREM	10.602	10.041	7.722	8.6556	10.0472	8.4385	7.1976	7.1888	6.0148	7.2654
GAREML	7.3973	6.3794	7.4359	7.0245	7.6029	6.4437	5.6828	5.4299	6.0909	5.9803
GARNL3	7.1197	5.959	7.7727	8.9126	7.4301	6.9145	5.1742	5.9415	7.586	6.6
GARS	11.9858	13.0141	12.7337	11.7212	13.1081	12.672	11.5841	10.975	11.189	11.3389
GART	11.9962	9.3517	12.0529	9.1875	11.744	11.5471	8.5801	8.8073	9.328	9.9285
GAS1	5.911	7.8618	4.1317	6.4526	5.6255	3.705	4.8007	5.6761	6.2039	4.5736
GAS2	6.4491	6.6399	5.2737	6.0534	4.039	10.2565	6.3525	4.1921	5.2717	6.9496
GAS2L1	5.6205	7.1652	6.9917	8.8399	6.0371	6.8045	8.697	7.8091	5.3179	7.1181
GAS2L2	6.0319	5.8294	5.9675	6.5464	6.1293	4.6748	4.1343	6.8536	4.4071	6.7912
GAS2L3	7.9588	8.705	7.4372	8.8778	5.5588	6.0964	8.2001	7.6209	8.7742	10.3724
GAS5	7.1219	9.1777	8.8287	6.7968	7.764	7.3213	7.7415	8.2868	8.2458	8.4649
GAS5-AS1	5.513	4.8086	5.8245	7.0864	4.4763	4.5462	6.6872	4.0487	3.5008	3.3657
GAS5 /// SNORD44 /// SNORD47 /// SNORD74 /// SNORD76 /// SNORD77 /// SNORD79 /// SNORD80 /// SNORD81	13.8258	15.1702	14.9298	14.031	14.3051	14.5438	13.5413	14.4239	13.881	13.5375
GAS6	7.2069	7.6005	6.4412	7.0999	6.9384	7.7466	8.3457	7.3111	6.944	6.1357
GAS6-AS1	6.6607	8.2002	7.4604	8.2766	6.6174	8.3842	6.682	5.5739	9.0744	6.987
GAS7	10.1584	12.0214	7.2356	11.3864	8.7748	8.7921	10.7555	11.9411	11.2902	11.4184
GAS8	7.4294	6.2976	5.5866	8.3684	6.7248	6.5987	7.3967	5.76	6.9638	7.8414
GAST	5.8217	6.5679	6.3059	6.7641	4.7193	5.426	6.596	4.7514	5.993	5.354
GATA1	6.8957	6.9075	7.4948	8.0581	6.5024	5.487	8.0615	6.4495	5.2554	8.1487
GATA2	7.2223	8.2941	8.2214	9.246	6.9112	8.1551	9.37	7.3982	6.3628	7.5659
GATA3	7.4506	8.7583	8.012	11.0279	7.6074	8.6123	10.5166	10.5306	9.974	9.9035
GATA3-AS1	4.8169	2.6509	5.5513	6.2409	4.2418	4.2889	4.5093	5.0729	4.977	5.3731
GATA4	6.6408	6.5375	7.1405	8.2744	6.1363	6.2863	6.9541	7.1748	6.1912	7.1998
GATA5	6.2667	5.3962	7.2527	7.9886	4.693	5.2872	6.3159	5.1841	3.6805	7.0773
GATA6	6.6606	6.389	7.1371	7.9127	4.0985	6.2559	6.4097	4.7464	4.9776	6.7317
GATA6-AS1	7.4662	7.1223	7.9625	9.2706	6.3269	5.025	6.1669	6.6954	6.1029	5.6413
GATAD1	9.719	8.5261	8.7878	9.1639	9.405	9.6695	9.0459	10.0628	9.6409	8.9553
GATAD2A	11.0275	10.5403	10.4795	10.6068	11.0385	11.0285	11.3312	10.5066	10.5597	10.5072
GATAD2B	8.6784	9.7385	9.992	9.4922	9.047	9.0776	9.8107	10.4645	10.5422	10.2529
GATC	10.6429	9.0471	10.0406	9.3454	10.2892	10.1376	8.9407	10.5945	10.662	10.6876
GATC /// SRSF9	13.2908	13.6707	13.7327	12.4895	13.5435	13.5363	12.898	12.7726	13.0003	12.6519
GATM	9.3466	8.4988	8.9008	9.6399	9.4687	10.4955	6.2415	7.3363	5.8816	6.8405
GATS	8.2028	9.4182	7.1034	8.3607	9.0337	6.0128	9.0942	8.609	9.3766	8.5485
GATSL2	8.2873	11.1172	7.4322	8.1324	9.7133	7.5232	8.5738	8.7015	9.7933	9.2348
GATSL3	5.3691	7.0825	6.3179	6.7007	6.9091	7.2466	6.142	8.3334	7.8626	7.1022
GBA2	9.5169	8.5158	9.2127	8.5713	10.0637	9.5134	7.8719	10.2854	9.1554	8.3475
GBA3	5.1138	6.0013	7.5575	6.9801	5.243	5.8998	6.3288	6.1316	5.5709	5.6732
GBA /// GBAP1	9.5605	8.0519	7.8561	10.4571	9.826	8.6009	8.8718	9.1453	8.5214	8.5358
GBAP1	10.0429	7.9888	9.0218	11.1238	10.1017	8.9603	7.9314	9.0571	9.0102	10.2733
GBAP1 /// LOC100510710	5.2876	4.7899	4.5094	4.8985	6.2493	5.1226	5.1788	3.0644	3.0978	6.1832
GBAS	11.5399	12.3783	10.794	10.6364	11.3241	11.4423	11.624	11.5571	11.8294	11.1376
GBE1	12.0041	10.8195	8.6695	10.3574	11.0958	9.9155	11.093	12.4859	12.0342	11.6916
GBF1	8.0944	8.4295	9.2089	8.7143	8.923	8.5294	8.74	8.4479	8.826	8.7376
GBGT1	5.6917	7.5033	8.2611	9.3476	6.4397	7.7576	8.8004	8.0365	9.0969	8.8533
GBP1	10.6412	8.7792	8.6869	10.6743	9.3927	11.191	11.0134	8.1346	9.3478	7.6499
GBP1P1	5.0829	5.5008	6.2922	8.2412	6.0474	6.3719	7.6856	3.6083	3.6953	5.1054
GBP2	6.8613	8.8258	8.6111	12.7671	9.0849	10.5867	11.8902	9.1185	8.0336	8.7746
GBP3	8.3081	7.3422	5.1674	8.4677	6.6166	8.8324	9.3273	8.8832	9.7652	8.8304
GBP4	5.3139	5.6211	6.3681	8.57	6.0631	7.9803	8.6797	7.8892	8.8018	7.4708
GBP5	7.81	7.6522	7.1866	11.0139	7.9156	9.6104	11.6849	6.2999	9.1541	7.0635
GBP6	4.9326	4.4187	5.6671	5.9645	5.3159	5.815	6.1109	6.0364	5.1895	4.7917
GBX1	4.5011	4.789	6.9378	6.6858	2.9018	3.5414	5.3391	4.7534	2.2132	3.9038
GBX2	4.635	3.7624	5.018	7.8398	3.2568	5.025	5.6606	1.8417	3.3162	4.2484
GC	3.9535	3.3621	3.3775	7.3233	3.7248	4.7866	5.4547	3.6948	3.2208	5.6641
GCA	9.8875	11.0047	10.003	12.0607	11.5043	10.5029	13.3046	11.0502	9.6081	11.8151
GCAT	6.891	8.0563	6.1444	8.2614	8.2989	7.5802	8.2352	7.4944	8.1375	8.2728
GCC1	9.698	9.3427	7.4231	9.6219	8.7603	9.0842	9.0483	9.0257	9.5542	8.9525
GCC2	9.4894	9.2556	9.6262	10.2127	9.4734	9.4181	10.8788	10.3198	10.2022	10.1254
GCDH	10.7517	9.3217	9.8193	9.8892	10.5647	10.3155	8.1797	9.8681	9.9525	9.9816
GCFC2	10.6471	10.0769	9.2324	8.7463	9.8132	9.9494	8.3309	7.5965	7.3744	8.1067
GCG	5.4869	3.2375	3.5411	7.2791	3.7291	4.6304	4.0516	4.9594	3.9891	5.6103
GCGR	6.1929	7.0898	8.7816	7.7901	7.0306	4.9119	6.8305	4.6248	3.8537	5.3644
GCH1	9.9684	11.1283	10.7163	13.0473	11.2764	11.9779	12.2502	10.4796	9.9521	10.4393
GCHFR	8.082	10.9553	11.1623	8.6136	9.2354	9.3099	9.7132	6.5225	6.7557	5.3179
GCK	4.2808	4.2887	4.4708	7.809	3.9375	5.8556	5.1322	2.6757	3.7256	5.9265
GCKR	5.0936	5.5139	7.3949	6.548	5.0426	6.0813	5.7511	5.9838	5.4644	5.2796
GCLC	9.3955	10.2649	9.3566	11.1751	9.954	9.6007	10.2604	9.3295	8.329	9.427
GCLM	9.9242	9.4456	8.9893	10.1344	9.4907	9.6449	10.8649	8.421	5.443	9.1217
GCM1	6.1981	5.0207	4.7467	5.6151	3.0157	4.3865	6.1968	4.1171	3.9566	3.173
GCM2	4.5553	2.9782	6.4104	5.6218	4.784	4.7847	4.3716	3.0887	3.3141	3.5871
GCN1L1	11.4886	10.9567	11.1098	10.4004	11.4051	11.1594	9.8815	10.357	11.0048	10.8812
GCNT1	7.9709	9.7188	8.8469	9.018	8.5145	7.6459	9.6373	8.5401	9.9392	9.2559
GCNT1P1 /// GCNT1P1	6.6935	6.3048	6.2362	6.998	4.4035	5.7737	3.8959	5.1614	6.0786	6.2067
GCNT2	5.2647	6.8555	8.7757	8.788	5.5773	8.1825	7.9163	5.6202	4.2855	6.4893
GCNT3	7.0329	5.6134	7.2884	8.7381	6.8759	6.7975	5.5548	6.6353	4.0565	7.7232
GCNT4	5.2956	6.0431	6.4428	6.4406	5.0615	5.9401	6.8193	7.0098	3.5088	6.4447
GCNT7	7.5049	8.7455	6.4853	7.1596	5.6531	6.6251	9.5136	7.8967	7.7484	7.2136
GCOM1 /// MYZAP /// POLR2M	10.3012	10.707	9.5844	9.9802	9.8985	9.4296	10.3341	9.9457	9.6073	8.9082
GCOM1 /// POLR2M	11.1232	11.0196	10.3261	9.8366	10.225	9.9766	10.527	9.8399	10.955	9.8803
GCSAM	11.2779	7.5951	11.4266	8.524	9.9034	10.8887	4.9129	6.6167	7.5399	8.2696
GCSAML	4.0492	4.059	4.6018	6.8818	5.3904	5.7259	5.6227	3.708	2.7034	6.5187
GCSAML-AS1	4.2129	5.4925	6.9855	5.1167	4.6164	4.6747	5.8983	4.7473	2.5923	4.8167
GCSH /// LOC101060817	12.6714	11.4367	12.4768	10.2902	13.2779	12.4044	9.9145	10.8069	10.9248	11.3501
GDA	6.6625	6.6211	7.2082	8.5718	5.8827	6.8996	5.6767	6.2629	6.8231	6.8436
GDAP1	8.8338	8.2471	8.7333	7.2355	7.6913	8.685	6.4062	6.9875	7.9685	7.0739
GDAP1L1	6.3891	5.9329	8.0351	7.6965	6.6996	7.0272	6.6217	6.2148	5.971	6.1063
GDAP2	8.9851	8.8254	8.3301	8.6358	7.0755	8.9623	9.9948	8.9699	9.1704	8.7739
GDE1	10.1586	10.4526	9.8549	10.6607	10.57	10.014	11.4028	10.1098	10.3031	10.008
GDF10	4.9853	4.4692	5.9781	6.0744	3.8054	4.7562	4.5104	4.1031	3.5035	4.7733
GDF11	9.0265	10.4081	7.5247	8.5434	8.155	9.5018	6.7162	10.8279	9.4871	9.5836
GDF15	6.6216	6.9608	6.7368	8.5698	6.1754	5.5571	7.1363	5.7334	5.5439	4.7933
GDF2	6.9708	5.7596	6.507	8.545	7.2478	6.973	5.1879	5.62	6.269	7.5901
GDF3	6.5313	6.8481	7.3298	6.3665	5.0865	5.5895	5.8473	5.8662	6.4821	7.3315
GDF5	5.7799	4.8369	8.5302	9.3005	4.789	6.147	5.8755	5.0175	5.263	4.9121
GDF9	7.485	7.1299	7.3124	7.0318	6.7245	6.011	5.7922	6.6944	6.5514	6.7048
GDI1	11.6098	11.3754	10.8724	11.2047	11.2028	11.0146	11.6053	12.2729	11.9023	11.7977
GDI2	13.2969	12.8503	14.5042	13.7509	13.979	13.9825	12.4883	14.2672	13.6287	13.9747
GDNF	5.5058	5.4298	5.1903	8.7936	5.4867	6.6658	5.1295	6.3498	5.5169	6.697
GDPD1	6.8264	6.0121	7.1857	7.7107	6.3172	6.7325	6.7122	7.6576	9.0371	8.3903
GDPD2	5.8639	4.8705	4.2372	6.2884	4.7628	5.2293	4.7065	4.3913	4.5245	3.0054
GDPD3	7.0613	6.5109	7.6227	7.7917	6.8994	6.4582	8.1659	8.7785	8.1045	9.5231
GDPD5	6.598	8.1788	9.0781	10.3631	7.8047	8.5422	9.3591	8.1311	8.8863	8.2685
GDPGP1	6.4288	6.3416	7.928	8.4124	6.4195	5.755	6.5436	6.1552	5.6579	7.8473
GEM	8.057	8.2949	5.6664	6.6179	5.0135	5.7044	7.0875	6.6392	5.4745	6.7383
GEMIN2	10.1888	9.3716	10.5443	8.673	10.3249	10.1226	9.2329	8.3934	8.8275	9.2153
GEMIN4	8.968	10.3849	10.2623	9.9525	10.7721	10.4877	8.7142	7.8694	10.1188	9.7627
GEMIN5	10.0259	8.7423	10.6153	8.185	10.8336	10.3779	8.1855	8.5362	9.823	10.03
GEMIN6	10.055	7.7863	10.7486	8.5134	10.4313	10.5278	7.0516	7.777	8.1791	8.9363
GEMIN7	11.7521	11.3867	10.6212	10.3453	11.6865	11.74	9.6326	11.4175	11.1581	11.0375
GEMIN8	9.3273	8.7637	9.2747	8.835	9.7511	9.1812	7.2119	8.5343	9.1087	8.4939
GEN1	9.3907	9.3525	9.4206	8.1979	8.4487	9.8555	8.5046	8.7248	9.4344	9.7836
GET4	10.0218	9.5314	9.2265	9.3018	9.6698	9.4586	9.4546	8.9023	9.5578	8.3178
GET4 /// RP11-449P15.2	5.7165	5.5001	5.5325	7.834	3.2426	5.6268	5.7821	5.2044	4.3454	3.915
GET4 /// SUN1	9.9802	9.8729	8.7104	7.4029	9.3141	9.0525	9.5579	7.9161	8.5956	7.9495
GFAP	4.7786	4.4462	6.0465	7.9826	4.4549	5.8013	5.1246	3.8498	3.3283	5.0883
GFER	9.6932	8.6318	7.2542	8.6382	8.4224	8.8839	7.6317	8.7193	8.5436	8.1345
GFI1	7.9927	9.687	8.1325	8.9502	9.7701	7.3977	10.9957	9.3906	10.6503	10.0987
GFI1B	6.1141	6.6963	6.6706	9.2743	5.6786	6.1238	8.7083	5.8374	6.3361	8.4364
GFM1	11.3132	11.1237	11.1509	9.989	11.0889	11.4737	10.2051	10.2531	11.511	10.4349
GFM2	11.0415	10.6611	10.3766	10.3055	11.1418	10.9321	10.4585	10.5367	10.745	10.7121
GFOD1	6.7065	8.9825	7.7132	9.491	9.945	8.7327	9.744	8.0198	7.8261	8.7135
GFOD2	8.4968	7.5175	8.1649	8.7652	9.066	8.0513	9.2281	7.7428	7.6947	8.7663
GFPT1	9.6644	9.1392	8.6943	8.6271	8.7403	9.0729	9.7041	9.1499	9.599	9.8771
GFPT2	6.3057	6.4583	7.7939	6.5607	5.7439	5.6749	5.8681	3.8913	4.6502	5.5818
GFRA1	4.9987	5.8757	5.2793	7.609	5.2792	5.9529	5.4607	5.4646	4.0561	5.5653
GFRA2	5.7274	4.3784	5.9355	6.7088	5.272	6.1533	5.5611	4.4379	3.6655	7.5998
GFRA3	5.2647	5.4881	4.9348	5.5161	6.5566	5.3878	5.6093	4.416	4.9679	7.0903
GFRA4	5.6003	6.1768	6.0095	5.7848	5.2209	5.1227	5.1932	6.4516	4.6429	6.1162
GGA1	12.1158	12.6132	12.139	12.3406	11.8722	12.0024	11.9365	11.5329	11.4718	11.3354
GGA2	10.7384	11.4422	11.9277	10.151	11.2369	11.207	11.5918	10.0259	10.5669	10.5197
GGA3	9.7678	9.3465	9.6409	8.728	10.1454	9.4748	10.7476	9.5224	9.8457	9.275
GGACT	7.5535	7.8483	7.1216	8.1822	6.8976	8.5505	6.0894	6.5227	5.8746	6.245
GGCT	11.9592	11.3567	13.0014	11.6726	12.8177	12.65	11.0572	11.681	11.848	12.0587
GGCX	10.3053	11.1033	11.0763	10.1929	10.5064	10.3529	10.4347	10.7449	9.994	10.349
GGH	11.0503	10.8437	10.7328	9.8724	10.4947	10.0776	10.8522	7.4576	7.6215	9.8384
GGN	5.4016	4.0435	5.9311	7.9715	5.2781	5.7543	5.2725	5.2253	4.364	6.9008
GGNBP2	10.8895	11.3733	10.7478	10.4527	10.2565	10.2535	12.2817	11.3981	10.953	11.3014
GGPS1	10.6647	9.4636	10.6373	9.9625	10.535	10.4649	9.6499	9.9233	10.4147	10.8129
GGT1	7.1298	7.6198	7.5937	7.6297	6.1565	6.7267	6.1602	6.2162	5.7912	6.0562
GGT1 /// GGT2 /// GGT3P /// GGT8P /// GGTLC1 /// GGTLC2 /// LOC100132705 /// LOC102724197	7.4204	7.1245	6.33	7.251	6.5044	6.8309	7.6658	7.2206	6.1922	6.9121
GGT1 /// GGT2 /// GGT3P /// GGTLC1 /// GGTLC2 /// LOC100132705 /// LOC102724197	5.8977	8.166	7.3998	9.6907	7.0185	6.9015	8.8505	6.8077	7.0655	8.1313
GGT1 /// GGT2 /// GGTLC1 /// GGTLC2	7.7088	8.5373	8.3308	9.7816	8.0881	7.6732	9.377	7.6762	7.6246	8.0185
GGT5	4.4053	3.4557	3.6368	5.4937	4.013	3.5414	2.6012	4.0769	3.5958	4.5388
GGT6	6.8059	5.3769	6.6219	7.0741	6.3928	5.901	3.1259	4.1602	5.0136	7.0522
GGT7	7.8608	6.1295	7.5152	8.2676	6.2043	5.973	6.6948	4.3811	5.2652	6.4428
GGTA1P	6.2566	9.7925	6.5668	9.2368	10.0659	4.8883	11.2476	7.7955	5.8522	9.1761
GGTLC1	6.6886	7.9875	6.9718	7.7751	7.3807	7.5006	8.6302	6.9165	6.424	7.259
GGTLC2	7.0441	7.1354	6.5192	7.6314	6.6526	7.4611	5.6814	5.6796	4.108	7.1589
GH1	7.4356	8.5875	7.4364	7.4344	5.4799	6.7287	6.4866	8.4533	9.3704	9.2391
GH2	6.759	8.0533	7.0234	8.1655	5.5596	6.0706	6.5825	7.7819	7.4485	8.0937
GHDC	9.251	9.1326	9.9055	9.4718	9.7591	10.0851	9.4569	11.0641	10.8666	10.6623
GHET1	6.4891	3.9298	6.7363	6.0864	3.8035	6.3153	5.6764	5.3566	4.8438	5.4245
GHITM	11.9157	12.5719	12.8174	13.1541	12.6262	12.9089	12.2768	12.58	12.261	12.1384
GHR	4.7956	3.4866	6.9819	6.3982	5.3631	4.9495	3.9624	5.1012	4.4803	3.6869
GHRH	6.039	5.3217	5.3074	5.8501	5.4243	5.7301	5.1798	5.7298	4.8923	5.6029
GHRHR	6.26	5.8166	6.5857	8.638	5.1745	6.4118	6.2496	5.4279	4.8273	7.4467
GHRL	6.617	6.2771	6.3896	8.6167	7.2001	6.3487	8.5038	5.9885	6.7356	7.6503
GHRLOS	6.7556	6.7334	7.5721	8.479	6.0244	7.0675	6.661	7.6026	6.6372	8.4172
GHSR	6.2764	5.8102	5.8073	7.2154	5.071	5.8484	5.498	6.2876	4.5095	6.6651
GID4	8.291	8.3913	8.6202	8.6446	9.3279	9.0478	8.0053	8.7432	9.2834	9.3279
GID8	11.0319	11.9204	10.8596	10.2811	11.053	10.7838	11.6581	10.8079	11.7756	10.8323
GIF	5.5772	4.98	7.8475	8.7099	4.5656	5.6826	5.8177	3.3969	3.8825	7.2566
GIGYF1	7.5132	8.2755	8.5515	8.3328	8.4838	7.8697	9.2388	9.0959	8.8312	8.683
GIGYF2	9.3328	9.0239	9.3753	9.1804	8.8761	9.1374	9.4251	8.9737	9.9228	9.7962
GIMAP1	6.9032	7.3993	7.2002	10.0901	7.4036	9.4523	8.4125	7.078	7.7032	6.9396
GIMAP1-GIMAP5 /// GIMAP5	6.6365	8.205	8.2296	9.5261	7.2838	9.7543	10.1151	7.4752	8.4374	7.0784
GIMAP2	9.7711	8.917	7.7362	11.024	8.5834	10.4671	9.0432	10.3755	10.4972	9.4388
GIMAP4	5.8067	3.9345	7.6047	9.8575	7.8196	10.5072	6.9889	5.7619	7.0045	5.8095
GIMAP6	7.4149	5.6765	6.604	8.4289	6.5307	9.464	8.3144	6.1582	8.1464	6.4119
GIMAP7	6.6591	7.5078	7.2462	9.0042	6.2641	9.4129	9.8253	5.9581	7.6394	5.6932
GIMAP8	5.878	5.857	5.8544	10.0094	6.6386	9.4962	7.1227	6.7151	6.0619	7.293
GIN1	8.7415	6.791	8.4412	6.9332	8.4912	9.0352	6.8663	6.9486	7.823	8.4021
GINM1	10.01	9.8117	10.1457	9.9521	9.5047	10.0007	10.8219	9.7629	9.7015	9.6165
GINS1	11.785	8.5815	12.2438	9.1506	11.0053	11.1581	7.9925	6.4611	10.1419	10.4545
GINS2	11.1532	10.8685	12.698	9.8919	12.0906	11.8403	9.5815	7.5357	10.4165	11.0646
GINS3	10.1582	9.4257	9.9844	7.2848	9.0341	9.5113	8.5903	8.4514	9.9742	9.436
GINS4	8.6256	7.5627	7.9295	8.0813	7.4459	9.1175	7.5465	7.5625	6.8798	7.5596
GIP	5.971	4.2664	6.0352	7.5316	3.2817	5.4064	4.7908	3.8537	3.4758	3.8707
GIPC1	7.6339	8.0969	8.1719	7.6191	8.2267	9.1778	8.1165	7.438	8.5704	6.979
GIPC2	5.7281	5.2602	7.5779	8.009	5.8298	5.5704	5.4011	4.3702	5.2139	6.4653
GIPC3	6.9686	5.0065	6.3991	7.4017	5.2169	5.1814	6.3058	9.1902	7.0393	6.9579
GIPR	8.2336	7.4689	7.7856	8.8492	5.7113	6.8582	6.1457	7.0916	5.7503	7.6407
GIT1	8.7288	8.5272	10.0654	9.7216	9.4761	8.6312	8.5879	8.565	9.2492	9.4491
GIT2	9.9358	11.4358	10.7509	10.1944	9.833	10.6731	11.8696	11.2753	11.6856	11.4588
GJA1	5.3555	6.1105	6.9308	5.3721	3.2654	3.705	5.5132	4.6192	3.2468	7.5948
GJA10	6.6809	3.816	5.2523	8.3914	5.5677	5.8969	5.3093	2.9453	3.6875	5.8992
GJA3	5.5961	5.3293	4.4406	9.3552	4.6992	7.1799	6.52	5.7491	5.6233	6.037
GJA4	5.8668	6.13	7.2836	7.9358	6.4764	5.9567	6.7909	4.5064	5.3159	5.0336
GJA5	5.8723	4.8004	6.1107	8.4217	4.6605	3.9644	4.1284	6.2895	3.854	7.0781
GJA8	6.2585	3.5332	6.6482	4.7349	3.6696	5.991	4.8777	2.7102	4.902	5.8687
GJA9 /// GJA9-MYCBP /// MYCBP	10.7183	9.5018	11.4396	10.2905	11.4709	11.4927	9.2736	9.3467	9.919	10.2231
GJA9-MYCBP /// MYCBP	10.511	9.4782	11.1616	10.1014	11.2574	11.1313	10.128	9.3803	10.4708	10.3785
GJB1	5.9381	6.0253	4.0456	5.4523	5.1328	6.6304	7.3512	7.0435	5.6548	4.9751
GJB2	4.6829	5.7609	6.4028	8.676	3.5632	4.8087	5.216	4.0416	3.1311	5.804
GJB3	7.8511	7.6361	7.7849	8.2567	6.0911	7.5088	7.8431	7.1855	6.856	7.7537
GJB4	4.1172	5.9931	4.4973	6.6521	4.4993	4.8565	6.0315	5.9195	3.1126	5.1745
GJB5	3.7899	3.0921	4.6586	7.7507	4.372	4.6526	2.3624	4.8544	2.9532	4.9817
GJB6	4.6829	5.4787	4.8357	11.0259	7.6472	4.932	13.1975	4.3732	2.9326	8.0739
GJC1	11.2928	6.9955	10.6112	7.4398	9.8167	9.1083	6.3377	6.0201	5.8358	8.1041
GJC2	7.2936	6.2254	7.4119	6.2292	4.4234	4.9684	6.4067	6.1899	5.4457	4.266
GJD2	7.0319	7.669	7.8161	7.8766	6.4787	6.822	7.7317	6.3428	5.1583	6.832
GJD3	6.553	7.4444	7.1368	8.6764	6.6106	6.8248	6.8173	6.7021	5.9145	7.2714
GJD4	4.7462	4.5755	4.1472	7.6419	4.9273	4.5301	4.8915	4.0162	3.4121	3.28
GK	8.3681	6.5212	8.2381	8.8169	8.6031	7.8877	8.0282	7.3998	8.1185	8.2551
GK2	5.9866	5.4898	7.6006	7.4655	5.5155	6.3425	5.4394	5.9258	4.1189	5.1782
GK3P	7.171	5.8513	7.0564	7.1618	7.5112	7.3794	4.7133	4.8267	6.0906	6.4098
GK5	9.2194	8.7696	8.9782	9.4529	8.2889	8.3353	10.1508	7.4085	6.6404	7.585
GKAP1	11.2485	9.5038	8.6021	10.1115	9.725	8.7009	9.4457	9.859	8.4418	9.6526
GK-AS1 /// GK-AS1	5.8999	5.7043	3.9545	8.4396	4.8641	5.8425	6.6573	4.8221	4.7486	6.7719
GKN1	6.0625	4.8187	6.3494	7.7791	4.718	5.9226	6.4905	5.0369	2.4113	6.8702
GKN2	5.8641	5.4181	6.4921	7.362	5.9676	6.6175	7.7027	5.0349	4.6925	7.1691
GLA	10.8658	9.7981	9.4682	11.3773	10.4293	10.4315	10.9802	11.242	11.3523	11.6922
GLB1L	7.2659	7.1872	5.8589	8.2018	7.2549	7.7014	7.8748	7.1733	6.0422	7.1896
GLB1L2	7.818	8.5852	6.8342	7.6129	7.3726	5.0095	7.2007	3.6093	5.0279	5.9804
GLB1L3	6.8234	6.1931	6.6328	9.2848	6.1671	5.396	7.0316	6.0818	5.6095	7.4435
GLB1 /// TMPPE	9.8117	9.1607	8.6892	10.2838	10.4206	10.0847	8.7902	10.0755	10.1943	10.206
GLCCI1	13.1659	11.7987	11.2367	11.3434	12.6478	11.5383	11.0049	11.284	11.3818	11.4583
GLCE	6.4268	4.7402	5.9045	7.6505	6.3777	6.7035	5.1691	4.1199	5.9261	4.5561
GLDC	6.9428	5.9709	5.2487	6.9552	8.0676	4.6916	6.2058	8.1392	10.5102	9.6021
GLDN	7.0684	6.4469	6.8906	7.0095	7.3705	6.382	7.7118	7.2275	6.3122	7.2325
GLE1	10.694	9.4678	10.5664	9.9114	10.8172	10.2612	9.3587	10.4195	11.156	11.0243
GLG1	10.8219	10.3206	10.7203	10.888	11.6133	10.9944	10.9155	12.6173	12.0556	12.1466
GLI1	7.4842	7.363	7.1593	8.7417	6.2478	7.0074	4.1236	4.345	4.9052	3.549
GLI2	7.3061	7.3171	7.7019	8.8652	7.22	7.6795	7.7379	7.581	6.281	8.105
GLI3	8.1254	7.4674	7.8928	6.2292	6.1274	5.8989	7.2439	7.0693	6.277	6.5097
GLI4	6.3755	5.9558	7.4541	7.3403	6.5818	6.5632	5.5911	5.9103	5.8239	4.9662
GLI4 /// ZFP41	7.3244	6.0011	6.9618	7.5627	6.5271	5.3408	5.1968	5.7447	5.4924	5.3183
GLIDR	9.9157	8.9885	10.2166	7.8042	9.1752	9.8541	7.4012	8.3457	8.2279	8.2896
GLIDR /// LOC728903	9.6366	9.2179	9.9501	8.9557	9.1517	9.9048	6.7901	8.0628	8.1118	8.3517
GLIPR1	9.7879	9.4071	9.8315	11.1297	9.9809	10.475	9.6301	11.0701	8.8588	11.138
GLIPR1L1	7.2678	7.1243	8.1322	7.7266	7.2612	7.1763	7.8032	7.3219	6.6837	7.914
GLIPR2	8.5523	10.3127	8.6952	12.8598	10.7341	10.4754	11.9649	11.1502	9.7238	10.7231
GLIS1	4.819	5.696	6.2453	9.5993	5.6941	6.2936	5.6351	4.7756	5.0979	4.0715
GLIS2	5.7423	5.416	5.7397	7.0342	6.6767	4.2141	6.9692	3.2792	5.8209	4.6969
GLIS3	5.9919	4.9634	5.8305	8.0918	5.6786	4.9138	6.648	5.2356	4.9413	5.0626
GLIS3-AS1	4.8444	4.3921	5.2509	6.6834	2.7381	5.1819	4.127	5.2674	3.1674	4.8155
GLMN	9.8521	8.6748	10.1343	9.7765	9.8013	9.9536	8.4931	9.0707	9.8998	9.6497
GLO1	13.9893	13.2313	12.0169	11.4335	13.4548	12.339	10.8038	11.5005	11.8519	11.4822
GLOD4	10.6864	10.3439	11.2143	9.84	11.4107	10.8933	9.8788	9.9957	11.0279	10.6134
GLOD5	5.4465	5.2536	4.8084	7.9655	4.3705	5.1345	5.7746	4.9613	4.3707	5.3161
GLP1R	7.2259	7.1594	7.8586	8.3615	6.8771	7.0686	7.6721	6.8033	6.6153	6.9373
GLP2R	4.819	2.9102	5.4494	6.3985	5.7898	4.445	4.564	3.4107	2.0678	5.6397
GLRA1	6.0762	4.8719	6.6135	6.6689	4.9269	4.7233	5.5851	4.3007	4.879	5.8424
GLRA2	7.275	5.8678	8.6986	7.4351	5.9887	6.5414	6.2644	3.6878	5.6046	5.3448
GLRA3	6.9138	6.1072	8.2432	7.0391	5.9438	5.1819	5.4519	5.2854	5.1668	5.9906
GLRB	5.9205	5.3748	5.3297	7.3821	4.6581	5.8818	6.0471	4.6431	5.4339	4.7507
GLRX	10.9885	11.8978	10.931	12.6597	12.2664	12.5532	13.4463	13.8119	13.6658	13.4975
