GSM329408	GSM329409	GSM329410	GSM329411	GSM329414	GSM329417	GSM329419	GSM329421	GSM329425	GSM329427
ABCB8	8.0773	7.461	8.5044	8.719	7.843	8.8858	7.1082	7.0486	7.681	8.0468
ABCB8 /// ASIC3	5.6425	6.9374	7.7422	5.7445	5.1424	7.1423	5.9235	6.3785	5.8242	6.0677
ABCB9	5.5757	5.7082	7.5031	7.8454	5.3568	6.6174	7.3429	7.1003	7.0788	6.2171
ABCC1	10.4855	10.0845	10.7758	10.674	9.8903	10.6786	10.4315	11.4501	11.4018	11.0775
ABCC10	9.0121	8.8138	8.9385	9.7556	9.1384	8.9917	8.7462	9.2767	8.696	9.0025
ABCC11	4.9604	6.3415	6.6682	7.9724	4.9454	6.2855	5.8045	5.8785	4.3957	6.7401
ABCC12	5.2075	4.6799	5.5523	7.0466	3.7375	4.8431	4.987	4.0816	3.0666	4.1414
ABCC13	5.4983	7.9331	6.8505	10.3612	6.4191	6.422	7.4688	7.3304	5.6535	6.8095
ABCC2	4.4129	5.1322	5.9333	7.495	5.4189	4.5301	4.5981	4.3664	4.2077	5.9891
ABCC3	6.311	7.464	6.1911	8.8401	6.3103	7.2061	6.7308	6.126	5.6466	7.1009
ABCC4	7.6922	7.5025	9.4544	9.2242	7.2282	9.0346	7.7082	8.0594	7.0907	8.0368
ABCC5	8.7775	8.0731	8.0447	8.8064	10.0352	8.1751	8.8611	9.5205	9.7312	9.5622
ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322	6.0526	7.5132	7.4295	7.5579	7.2335	6.895	9.0067	6.5083	4.819	8.2231
ABCC6 /// LOC101930322	5.5059	4.204	5.7753	5.648	5.4661	4.6613	5.6635	4.4473	3.7608	5.4828
ABCC6P1	5.0916	5.4004	5.9244	7.5227	4.4158	4.1422	6.0031	3.1691	3.2131	6.4261
ABCC8	5.2651	4.6183	5.2495	6.3361	3.1181	4.5775	4.0193	2.749	3.9539	5.352
ABCC9	6.205	5.956	7.4951	7.8635	5.11	6.2064	6.3924	5.2225	4.111	6.7445
