Gene	MembraneinEnsembl
COL7A1	Y
COLEC12	Y
COLQ	Y
COMMD1	Y
COMMD7	Y
COMT	Y
COMTD1	Y
COPA	Y
COPB1	Y
COPB2	Y
COPE	Y
COPG2	Y
COPS5	N
COPZ1	Y
COPZ2	Y
COQ10A	Y
COQ10B	Y
COQ2	Y
COQ3	Y
COQ4	Y
COQ5	Y
COQ6	Y
COQ7	Y
COQ9	Y
CORIN	Y
CORO1A	Y
CORO1B	Y
CORO1C	Y
CORO2B	Y
CORO7	Y
COX10	Y
COX11	Y
COX15	Y
COX16	Y
COX18	Y
COX4I1	Y
COX4I2	Y
COX5A	Y
COX5B	Y
COX6A1	Y
COX6A2	Y
COX6B1	Y
COX6B2	Y
COX6C	Y
COX7A1	Y
COX7A2	Y
COX7A2L	Y
COX7B	Y
COX7B2	Y
COX7C	Y
COX8A	Y
COX8C	Y
CP	Y
CPAMD8	Y
CPD	Y
CPE	Y
CPEB1	Y
CPEB3	Y
CPEB4	Y
CPLX1	Y
CPLX2	Y
CPLX3	Y
CPLX4	Y
CPM	Y
CPN1	Y
CPNE1	Y
CPNE2	Y
CPNE3	Y
CPNE6	Y
CPNE7	Y
CPO	Y
CPOX	Y
CPPED1	Y
CPS1	Y
CPSF2	Y
CPSF6	Y
CPSF7	Y
CPT1A	Y
CPT1B	Y
CPT1C	Y
CPT2	Y
CR1	Y
CR1L	Y
CR2	Y
CRAT	Y
CRB1	Y
CRB2	Y
CRB3	Y
CRBN	Y
CRCP	Y
CREB3	Y
CREB3L1	Y
CREB3L2	Y
CREB3L3	Y
CREB3L4	Y
CRELD1	Y
CRHBP	N
CRHR1	Y
CRHR2	Y
CRIM1	Y
CRISP3	Y
CRK	Y
CRLF2	Y
CRLF3	Y
CRLS1	Y
CRNN	Y
CROCC	Y
CRTAM	Y
CRTAP	N
CRTC1	Y
CRYAB	Y
CS	Y
CSDE1	Y
CSE1L	Y
CSF1	Y
CSF1R	Y
CSF2RA	Y
CSF2RB	Y
CSF3R	Y
CSGALNACT1	Y
CSGALNACT2	Y
CSK	Y
CSMD1	Y
CSMD2	Y
CSMD3	Y
CSNK1A1	Y
CSNK1D	Y
CSNK1G1	Y
CSNK1G2	Y
CSNK2A1	Y
CSNK2A2	Y
CSNK2B	Y
CSPG4	Y
CSPG5	Y
CST11	N
CST3	Y
CST6	Y
CSTA	Y
CTAG2	N
CTAGE1	Y
CTAGE4	Y
CTAGE5	Y
CTAGE6	Y
CTGF	Y
CTLA4	Y
CTNNA1	Y
CTNNA2	Y
CTNNA3	N
CTNNAL1	Y
CTNNB1	Y
CTNNBL1	Y
CTNND1	Y
CTNND2	N
CTNS	Y
CTSA	Y
CTSB	N
CTSC	Y
CTSD	Y
CTSE	N
CTSG	Y
CTSS	N
CTSW	Y
CTSZ	Y
CTTN	Y
CTXN1	Y
CTXN2	Y
CTXN3	Y
CUBN	Y
CUEDC2	Y
CUL3	Y
CUL5	N
CUTA	Y
CUX1	Y
CUX2	Y
CUZD1	Y
CWH43	Y
CX3CL1	Y
CX3CR1	Y
CXADR	Y
CXCL10	Y
CXCL12	Y
CXCL16	Y
CXCL9	Y
CXCR1	Y
CXCR2	Y
CXCR3	Y
CXCR4	Y
CXCR5	Y
CXCR6	Y
CXCR7	N
CXorf66	Y
CYB561	Y
CYB561D1	Y
CYB561D2	Y
CYB5A	Y
CYB5B	Y
CYB5D2	Y
CYB5R1	Y
CYB5R2	Y
CYB5R3	Y
CYB5R4	Y
CYB5RL	Y
CYBA	Y
CYBB	Y
CYBRD1	Y
CYC1	Y
CYCS	Y
CYFIP2	Y
CYHR1	Y
CYLD	Y
CYP11A1	Y
CYP11B1	Y
CYP11B2	Y
CYP17A1	Y
CYP19A1	Y
CYP1A1	Y
CYP1A2	Y
CYP1B1	Y
CYP20A1	Y
CYP21A2	Y
CYP24A1	Y
CYP26A1	Y
CYP26B1	Y
CYP26C1	Y
CYP27A1	Y
CYP27B1	Y
CYP27C1	Y
CYP2A13	Y
CYP2A6	Y
CYP2A7	Y
CYP2B6	Y
CYP2C18	Y
CYP2C19	Y
CYP2C8	Y
CYP2C9	Y
CYP2D6	Y
CYP2E1	Y
CYP2F1	Y
CYP2J2	Y
CYP2R1	Y
CYP2S1	Y
CYP2U1	Y
CYP2W1	Y
CYP39A1	Y
CYP3A4	Y
CYP3A43	Y
CYP3A5	Y
CYP3A7	Y
CYP46A1	Y
CYP4A11	Y
CYP4A22	Y
CYP4B1	Y
CYP4F11	Y
CYP4F12	Y
CYP4F2	Y
CYP4F22	Y
CYP4F3	Y
CYP4F8	Y
CYP4V2	Y
CYP4X1	Y
CYP4Z1	Y
CYP51A1	Y
CYP7A1	Y
CYP7B1	Y
CYP8B1	Y
CYR61	N
CYS1	Y
CYSLTR1	Y
CYSLTR2	Y
CYTH1	Y
CYTH2	Y
CYTH3	Y
CYTH4	Y
CYTIP	N
CYYR1	Y
DAAM1	Y
DAB1	Y
DAB2	Y
DAB2IP	Y
DAD1	Y
DAG1	Y
DAGLA	Y
DAGLB	Y
DAO	Y
DAP3	Y
DAPK1	Y
DAPK2	Y
DAPK3	Y
DAPL1	Y
DAPP1	Y
DARC	N
DARS	Y
DBH	Y
DBN1	Y
DBNDD1	Y
DBNDD2	Y
DBNL	Y
DCAF17	Y
DCAKD	Y
DCBLD1	Y
DCBLD2	Y
DCC	Y
DCHS1	Y
DCHS2	Y
DCLK1	Y
DCP1A	Y
DCP1B	Y
DCST1	Y
DCST2	Y
DCT	Y
DCTN1	Y
DCTN2	Y
DCTN5	Y
DCUN1D3	Y
DCUN1D5	Y
DCXR	Y
DDAH1	N
DDHD2	Y
DDN	Y
DDOST	Y
DDR1	Y
DDR2	Y
DDRGK1	Y
DDX1	Y
DDX17	Y
DDX18	Y
DDX19A	Y
DDX19B	Y
DDX20	Y
DDX21	Y
DDX24	Y
DDX3X	Y
DDX3Y	Y
DDX41	Y
DDX42	Y
DDX46	Y
DDX47	Y
DDX5	Y
DDX50	Y
DDX51	Y
DDX52	Y
DDX54	Y
DDX55	Y
DDX56	Y
DDX58	Y
DDX59	Y
DDX6	Y
DECR2	Y
DEF6	Y
DEFB1	Y
DEFB106A	Y
DEFB106B	Y
DEGS1	Y
DEGS2	Y
DENND1A	Y
DENND4C	Y
DENND5A	Y
DENND5B	Y
DEPDC5	Y
DERL1	Y
DERL2	Y
DERL3	Y
DES	Y
DEXI	N
DFFA	Y
DFNA5	Y
DFNB31	N
DGAT1	Y
DGAT2	Y
DGAT2L6	Y
DGCR2	Y
DGKA	Y
DGKB	Y
DGKD	Y
DGKE	Y
DGKG	Y
DGKH	Y
DGKI	Y
DGKK	Y
DGKQ	Y
DGKZ	Y
DHCR24	Y
DHCR7	Y
DHDDS	Y
DHH	Y
DHODH	Y
DHRS1	Y
DHRS13	Y
DHRS3	Y
DHRS4	Y
DHRS7	Y
DHRS7B	Y
DHRS7C	Y
DHRS9	Y
DHX34	Y
DHX36	Y
DHX38	Y
DHX9	Y
DIABLO	Y
DIAPH1	Y
DIO1	Y
DIO2	Y
DIO3	Y
DIP2B	Y
DIRAS1	Y
DIRAS2	Y
DIRAS3	Y
DIRC2	Y
DIS3	Y
DIS3L	Y
DISC1	Y
DISP1	Y
DISP2	Y
DKC1	Y
DKK1	Y
DLC1	Y
DLG1	Y
DLG2	Y
DLG3	Y
DLG4	Y
DLG5	Y
DLGAP1	Y
DLGAP2	Y
DLGAP3	Y
DLGAP4	Y
DLK1	Y
DLK2	Y
DLL1	Y
DLL3	Y
DLL4	Y
DLST	Y
DMBT1	Y
DMD	Y
DMPK	Y
DMRT2	Y
DMXL2	Y
DNAH10	Y
DNAI2	Y
DNAJA1	Y
DNAJA2	Y
DNAJA3	Y
DNAJA4	Y
DNAJB11	Y
DNAJB12	Y
DNAJB14	Y
DNAJB2	Y
DNAJB4	Y
DNAJB6	Y
DNAJB9	Y
DNAJC1	Y
DNAJC10	Y
DNAJC11	Y
DNAJC13	Y
DNAJC14	Y
DNAJC15	Y
DNAJC16	Y
DNAJC18	Y
DNAJC19	Y
DNAJC2	Y
DNAJC22	Y
DNAJC24	Y
DNAJC25	Y
DNAJC3	Y
DNAJC4	Y
DNAJC5	Y
DNAJC5B	Y
DNAJC5G	Y
DNAJC7	Y
DNAJC9	Y
DNAL4	Y
DNASE1L1	N
DNER	Y
DNM1	Y
DNM1L	Y
DNM2	Y
DNM3	Y
DOC2A	Y
DOC2B	Y
DOCK1	Y
DOCK10	Y
DOCK2	Y
DOCK3	N
DOCK4	Y
DOCK5	Y
DOCK8	Y
DOCK9	Y
DOK1	N
DOK2	N
DOK3	Y
DOK5	N
DOK6	N
DOK7	Y
DOLK	Y
DOLPP1	Y
DOPEY1	Y
DOPEY2	Y
DPAGT1	Y
DPCR1	Y
DPEP1	Y
DPEP2	Y
DPEP3	Y
DPM1	Y
DPM2	Y
DPM3	Y
DPP10	Y
DPP3	Y
DPP4	Y
DPP6	Y
DPY19L1	Y
DPY19L2	Y
DPY19L3	Y
DPY19L4	Y
DPYSL2	Y
DRAM1	Y
DRAM2	Y
DRD1	Y
DRD2	Y
DRD3	Y
DRD4	Y
DRD5	Y
DRG1	Y
DRG2	Y
DRP2	Y
DSC1	Y
DSC2	Y
DSC3	Y
DSCAM	Y
DSCAML1	Y
DSE	Y
DSEL	Y
DSG1	Y
DSG2	Y
DSG3	Y
DSG4	Y
DSP	Y
DST	Y
DSTYK	Y
DTD1	Y
DTL	Y
DTNA	Y
DTNBP1	Y
DTX2	Y
DULLARD	N
DUOX1	Y
DUOX2	Y
DUOXA1	Y
DUOXA2	Y
DUSP13	Y
DUSP15	Y
DUSP18	Y
DUSP2	Y
DUSP21	Y
DUSP3	Y
DUX4	Y
DVL1	Y
DVL2	Y
DYM	Y
DYNC1H1	Y
DYNC1LI1	Y
DYNC1LI2	Y
DYNC2H1	Y
DYNLL1	Y
DYNLL2	Y
DYNLRB1	Y
DYRK2	Y
DYSF	Y
DZIP3	Y
E2F5	Y
EBAG9	Y
EBI3	Y
EBP	Y
EBPL	Y
ECE1	Y
ECE2	Y
ECEL1	Y
ECH1	Y
ECHDC1	Y
ECSCR	Y
ECSIT	Y
ECT2	N
EDA	Y
EDA2R	Y
EDAR	Y
EDC3	Y
EDC4	Y
EDEM1	Y
EDEM2	Y
EDEM3	Y
EDNRA	Y
EDNRB	Y
EEA1	Y
EEF1A1	Y
EEF1A2	Y
EEF1E1	Y
EEF1G	Y
EEF2	Y
EFCAB7	Y
EFHD1	Y
EFHD2	Y
EFNA1	Y
EFNA2	Y
EFNA3	Y
EFNA4	Y
EFNA5	Y
EFNB1	Y
EFNB2	Y
EFNB3	Y
EFR3A	Y
EFR3B	Y
EFTUD2	Y
EGF	Y
EGFL6	Y
EGFLAM	N
EGFR	Y
EHBP1	Y
EHBP1L1	Y
EHD1	Y
EHD2	Y
EHD3	Y
EHD4	Y
EHMT1	Y
EI24	Y
EIF2AK2	Y
EIF2AK3	Y
EIF2B1	Y
EIF2S1	Y
EIF3A	Y
EIF3D	Y
EIF3E	Y
EIF3F	Y
EIF3H	Y
EIF3K	Y
EIF3L	Y
EIF4A1	Y
EIF4A3	Y
EIF4EBP3	Y
EIF4ENIF1	Y
EIF4G1	Y
EIF4G2	Y
EIF4H	Y
EIF5	Y
EIF5A	Y
EIF5A2	Y
EIF5AL1	Y
ELANE	N
ELAVL1	Y
ELAVL4	N
ELF5	N
ELFN1	Y
ELFN2	Y
ELMO1	Y
ELMO2	Y
ELMOD2	Y
ELOVL1	Y
ELOVL2	Y
ELOVL3	Y
ELOVL4	Y
ELOVL5	Y
ELOVL6	Y
ELOVL7	Y
ELTD1	N
EMB	Y
EMCN	Y
EMD	Y
EML2	Y
EML4	Y
EMP1	Y
EMP2	Y
EMP3	Y
EMR1	N
EMR2	N
EMR3	N
EMR4	N
EN1	N
EN2	Y
ENAH	Y
ENDOD1	Y
ENG	Y
ENHO	Y
ENO1	Y
ENO2	Y
ENO3	Y
ENOX1	Y
ENOX2	Y
ENPEP	Y
ENPP1	Y
ENPP2	Y
ENPP3	Y
ENPP4	Y
ENPP5	Y
ENPP6	Y
ENPP7	Y
ENTPD1	Y
ENTPD2	Y
ENTPD3	Y
ENTPD4	Y
ENTPD6	Y
ENTPD7	Y
ENTPD8	Y
EPB41	Y
EPB41L1	Y
EPB41L2	Y
EPB41L3	Y
EPB41L4B	Y
EPB41L5	Y
EPB42	Y
EPB49	N
EPC1	Y
EPCAM	Y
EPGN	Y
EPHA1	Y
EPHA10	Y
EPHA2	Y
EPHA3	Y
EPHA4	Y
EPHA5	Y
EPHA6	Y
EPHA7	Y
EPHA8	Y
EPHB1	Y
EPHB2	Y
EPHB3	Y
EPHB4	Y
EPHB6	Y
EPHX1	Y
EPHX3	Y
EPHX4	Y
EPM2A	Y
EPN1	Y
EPN2	Y
EPN3	Y
EPOR	Y
EPR1	N
EPRS	Y
EPS15	Y
EPS15L1	Y
EPS8	Y
EPS8L1	Y
EPS8L2	Y
ERAL1	Y
ERAP1	Y
ERAP2	Y
ERAS	Y
ERBB2	Y
ERBB2IP	N
ERBB3	Y
ERBB4	Y
ERC1	Y
ERC2	Y
ERCC6L	Y
EREG	Y
ERGIC1	Y
ERGIC2	Y
ERGIC3	Y
ERLIN1	Y
ERLIN2	Y
ERMAP	Y
ERMP1	Y
ERN1	Y
ERN2	Y
ERP29	Y
ERP44	Y
ERRFI1	Y
ERVWE1	N
ESAM	Y
ESR1	Y
ESYT1	Y
ESYT2	Y
ESYT3	Y
ETFDH	Y
ETNK1	Y
ETS2	Y
ETV5	Y
ETV6	Y
EVC	Y
EVC2	Y
EVI2A	Y
EVI2B	Y
EVI5L	Y
EVL	Y
EVPL	Y
EWSR1	Y
EXOC1	Y
EXOC2	Y
EXOC3	Y
EXOC4	Y
EXOC6	Y
EXOC7	Y
EXOC8	Y
EXOG	Y
EXOSC10	Y
EXT1	Y
EXT2	Y
EXTL1	Y
EXTL2	Y
EXTL3	Y
EZR	Y
F10	Y
F11	Y
F11R	Y
F12	Y
F2	Y
F2R	Y
F2RL1	Y
F2RL2	Y
F2RL3	Y
F3	Y
F5	Y
F7	Y
F8	Y
F9	Y
FA2H	Y
FAAH	Y
FAAH2	Y
FABP5	Y
FABP6	Y
FADD	Y
FADS1	Y
FADS2	Y
FADS3	Y
FADS6	Y
FAF1	Y
FAF2	Y
FAHD1	Y
FAIM2	Y
FAIM3	N
FAM118A	Y
FAM120A	Y
FAM126A	Y
FAM126B	Y
FAM129A	Y
FAM129B	Y
FAM134A	N
FAM151A	Y
FAM155A	Y
FAM155B	Y
FAM156A	Y
FAM159A	Y
FAM162A	Y
FAM162B	Y
FAM163A	Y
FAM163B	Y
FAM168B	Y
FAM169A	Y
FAM171A1	Y
FAM171A2	Y
FAM171B	Y
FAM173A	Y
FAM173B	Y
FAM174A	Y
FAM174B	Y
FAM187B	Y
FAM189A1	Y
FAM189A2	Y
FAM189B	Y
FAM18B	N
FAM198B	Y
FAM19A5	Y
FAM20B	Y
FAM26D	Y
FAM26E	Y
FAM26F	Y
FAM38A	N
FAM3A	Y
FAM3D	Y
FAM49B	Y
FAM57A	Y
FAM57B	Y
FAM65B	N
FAM69A	Y
FAM69B	Y
FAM69C	Y
FAM70B	N
FAM73A	N
FAM74A1	N
FAM74A3	N
FAM76B	Y
FAM83B	Y
FAM84B	Y
FAM87B	N
FAM8A1	Y
FAM9C	Y
FANCG	Y
FANCI	Y
FAP	Y
FAR1	Y
FAR2	Y
FARP1	Y
FARSA	Y
FARSB	Y
FAS	Y
FASLG	Y
FASN	Y
FAT1	Y
FAT2	Y
FAT3	Y
FAT4	Y
FATE1	Y
FBL	Y
FBP2	Y
FBXL2	Y
FBXO2	Y
FBXO31	Y
FBXO45	Y
FCAMR	Y
FCAR	Y
FCER1A	Y
FCER1G	Y
FCER2	Y
FCGR1A	Y
FCGR2A	Y
FCGR2B	Y
FCGR2C	Y
FCGR3A	Y
FCGR3B	Y
FCGRT	Y
FCHO1	Y
FCHO2	Y
FCN1	Y
FCRL1	Y
FCRL2	Y
FCRL3	Y
FCRL4	Y
FCRL5	Y
FCRL6	Y
FCRLB	N
FDFT1	Y
FDPS	Y
FDXR	Y
FECH	Y
FEN1	Y
FER	Y
FER1L5	Y
FER1L6	Y
FERMT1	Y
FERMT2	Y
FERMT3	Y
FES	Y
FEZ1	Y
FFAR1	Y
FFAR2	Y
FFAR3	Y
FGA	Y
FGB	Y
FGD1	N
FGD2	Y
FGD5	Y
FGF10	Y
FGF13	Y
FGF2	N
FGF6	Y
FGF8	Y
FGFBP1	Y
FGFR1	Y
FGFR2	Y
FGFR3	Y
FGFR4	Y
FGFRL1	Y
FGG	Y
FGR	Y
FHIT	Y
FHL1	Y
FHL3	N
FHOD1	Y
FIBCD1	Y
FIBP	Y
FICD	Y
FIG4	Y
FILIP1	Y
FILIP1L	Y
FIS1	Y
FITM1	Y
FITM2	Y
FKBP11	Y
FKBP15	Y
FKBP1A	Y
FKBP1B	Y
FKBP2	Y
FKBP5	Y
FKBP8	Y
FKRP	Y
FKTN	Y
FLAD1	Y
FLCN	Y
FLG	Y
FLNA	Y
FLNB	Y
FLNC	Y
FLOT1	Y
FLOT2	Y
FLRT1	Y
FLRT2	Y
FLRT3	Y
FLT1	Y
FLT3	Y
FLT3LG	Y
FLT4	Y
FLVCR1	Y
FLVCR2	Y
FMN1	Y
FMN2	Y
FMNL1	Y
FMNL3	Y
FMO1	Y
FMO2	Y
FMO3	Y
FMO4	Y
FMO5	Y
FMR1	Y
FMR1NB	Y
FN1	Y
FNBP1	Y
FNBP1L	Y
FNDC3A	Y
FNDC3B	Y
FNDC4	Y
FNDC5	Y
FNTA	Y
FOLH1	Y
FOLR1	Y
FOLR2	Y
FOLR3	Y
FOS	Y
FOSL1	Y
FOXO3	Y
FOXRED1	Y
FPGS	Y
FPR1	Y
FPR2	Y
FPR3	Y
FRAS1	Y
FREM1	Y
FREM2	Y
FRK	Y
FRMD3	Y
FRMD4B	N
FRMD5	Y
FRMD6	Y
FRMPD1	Y
FRMPD2	Y
FRRS1	Y
FRS2	Y
FRS3	Y
FRZB	Y
FSCN1	Y
FSCN2	N
FSCN3	Y
FSD1L	Y
FSHR	Y
FTCD	Y
FTH1	Y
FTL	Y
FTO	Y
FUBP3	Y
FUCA1	N
FUNDC1	Y
FUNDC2	Y
FURIN	Y
FUT1	Y
FUT10	Y
FUT11	Y
FUT2	Y
FUT3	Y
FUT4	Y
FUT5	Y
FUT6	Y
FUT7	Y
FUT8	Y
FUT9	Y
FXC1	N
FXR1	Y
FXR2	Y
FXYD1	Y
FXYD2	Y
FXYD3	Y
FXYD4	Y
FXYD5	Y
FXYD6	Y
FXYD7	Y
FYCO1	Y
FYN	Y
FZD1	Y
FZD10	Y
FZD2	Y
FZD3	Y
FZD4	Y
FZD5	Y
FZD6	Y
FZD7	Y
FZD8	Y
FZD9	Y
FZR1	Y
G3BP1	Y
G6PC	Y
G6PC2	Y
G6PC3	Y
G6PD	Y
GAA	Y
GAB1	N
GAB2	Y
GABARAP	Y
GABARAPL1	Y
GABARAPL2	Y
GABBR1	Y
GABBR2	Y
GABRA1	Y
GABRA2	Y
GABRA3	Y
GABRA4	Y
GABRA5	Y
GABRA6	Y
GABRB1	Y
GABRB2	Y
GABRB3	Y
GABRD	Y
GABRE	Y
GABRG1	Y
GABRG2	Y
GABRG3	Y
GABRP	Y
GABRQ	Y
GABRR1	Y
GABRR2	Y
GAD1	Y
GAD2	Y
GAK	Y
GAL3ST1	Y
GAL3ST2	Y
GAL3ST3	Y
GAL3ST4	Y
GALK1	Y
GALNT1	Y
GALNT10	Y
GALNT11	Y
GALNT12	Y
GALNT13	Y
GALNT14	Y
GALNT2	Y
GALNT3	Y
GALNT4	Y
GALNT5	Y
GALNT6	Y
GALNT7	Y
GALNT8	Y
GALNT9	Y
GALNTL1	N
GALNTL4	N
GALNTL5	Y
GALNTL6	Y
GALR1	Y
GALR2	Y
GALR3	Y
GANAB	Y
GAP43	Y
GAPDH	Y
GAPT	Y
GAPVD1	Y
GAS1	Y
GAS2	Y
GATA6	Y
GATM	Y
GBA	Y
GBA2	Y
GBAS	N
GBF1	Y
GBGT1	Y
GBP1	Y
GBP2	Y
GBP3	Y
GBP4	Y
GBP5	Y
GBP7	Y
GC	N
GCA	Y
GCAT	Y
GCC1	Y
GCC2	Y
GCG	Y
GCGR	Y
GCH1	Y
GCHFR	Y
GCLC	Y
GCNT1	Y
GCNT2	Y
GCNT3	Y
GCNT4	Y
GCNT7	Y
GDA	N
GDAP1	Y
GDAP1L1	Y
GDAP2	Y
GDE1	Y
GDF5	Y
GDI2	Y
GDPD1	Y
GDPD2	Y
GDPD3	Y
GDPD4	Y
GDPD5	Y
GEM	Y
GEMIN4	Y
GEMIN5	Y
GFAP	Y
GFRA1	Y
GFRA2	Y
GFRA3	Y
GFRA4	Y
GFRAL	Y
GGA1	Y
GGA2	Y
GGA3	Y
GGCX	Y
GGH	N
GGT1	Y
GGT5	Y
GGT6	Y
GGT7	Y
GGTLC2	N
GHDC	Y
GHITM	Y
GHR	Y
GHRHR	Y
GHSR	Y
GIF	Y
GIGYF2	Y
GIMAP1	Y
GIMAP2	Y
GIMAP5	Y
GIPC1	Y
GIPR	Y
GIT1	Y
GJA1	Y
GJA10	Y
GJA3	Y
GJA4	Y
GJA5	Y
GJA8	Y
GJA9	Y
GJB1	Y
GJB2	Y
GJB3	Y
GJB4	Y
GJB5	Y
GJB6	Y
GJB7	Y
GJC1	Y
GJC2	Y
GJC3	Y
GJD2	Y
GJD3	Y
GJD4	Y
GK	Y
GK2	Y
GLCE	Y
GLDC	Y
GLDN	Y
GLE1	Y
GLG1	Y
GLI2	Y
GLIPR1	Y
GLIPR1L2	Y
GLIPR2	Y
GLO1	Y
GLP1R	Y
GLP2R	Y
GLRA1	Y
GLRA2	Y
GLRA3	Y
GLRA4	Y
GLRB	Y
GLT6D1	Y
GLT8D1	Y
GLT8D2	Y
GLTP	Y
GLTPD2	N
GM2A	Y
GMFB	N
GMIP	Y
GML	Y
GNA11	Y
GNA12	Y
GNA13	Y
GNA14	Y
GNA15	Y
GNAI1	Y
GNAI2	Y
GNAI3	Y
GNAL	Y
GNAO1	Y
GNAQ	Y
GNAS	Y
GNAT1	Y
GNAT2	Y
GNAZ	Y
GNB1	Y
GNB1L	Y
GNB2	Y
GNB2L1	N
GNB3	Y
GNB4	Y
GNB5	Y
GNG10	Y
GNG11	Y
GNG12	Y
GNG13	Y
GNG2	Y
GNG3	Y
GNG4	Y
GNG5	Y
GNG7	Y
GNG8	Y
GNGT1	Y
GNGT2	Y
GNL2	Y
GNL3	Y
GNL3L	Y
GNPAT	Y
GNPNAT1	Y
GNPTAB	Y
GNPTG	Y
GNRH1	Y
GNRHR	Y
GOLGA1	Y
GOLGA2	Y
GOLGA3	Y
GOLGA4	Y
GOLGA5	Y
GOLGA7	Y
GOLGA7B	Y
GOLGA8A	Y
GOLGA8B	Y
GOLGB1	Y
GOLIM4	Y
GOLM1	Y
GOLPH3	Y
GOLPH3L	Y
GOLT1A	Y
GOLT1B	Y
GOPC	Y
GORASP1	Y
GORASP2	Y
GOSR1	Y
GOSR2	Y
GOT2	Y
GP1BA	Y
GP1BB	Y
GP2	Y
GP5	Y
GP6	Y
GP9	Y
GPA33	Y
GPAA1	Y
GPAM	Y
GPAT2	Y
GPBAR1	Y
GPBP1	Y
GPC1	Y
GPC2	Y
GPC3	Y
GPC4	Y
GPC5	Y
GPC6	Y
GPD1L	Y
GPD2	Y
GPER	N
GPHN	Y
GPI	Y
GPIHBP1	Y
GPLD1	Y
GPM6A	Y
GPM6B	Y
GPNMB	Y
GPR1	Y
GPR101	Y
GPR107	Y
GPR108	Y
GPR109A	N
GPR109B	N
GPR112	N
GPR113	N
GPR114	N
GPR115	N
GPR116	N
GPR119	Y
GPR12	Y
GPR120	N
GPR123	N
GPR124	N
GPR125	N
GPR126	N
GPR128	N
GPR132	Y
GPR133	N
GPR135	Y
GPR137	Y
GPR137B	Y
GPR139	Y
GPR141	Y
GPR142	Y
GPR143	Y
GPR144	N
GPR146	Y
GPR148	Y
GPR149	Y
GPR15	Y
GPR150	Y
GPR151	Y
GPR152	Y
GPR153	Y
GPR155	Y
GPR156	Y
GPR157	Y
GPR158	Y
GPR160	Y
GPR161	Y
GPR162	Y
GPR17	Y
GPR171	Y
GPR172A	N
GPR172B	N
GPR173	Y
GPR174	Y
GPR176	Y
GPR179	Y
GPR18	Y
GPR180	Y
GPR182	Y
GPR183	Y
GPR19	Y
GPR20	Y
GPR21	Y
GPR22	Y
GPR25	Y
GPR26	Y
GPR27	Y
GPR3	Y
GPR31	Y
GPR32	Y
GPR34	Y
GPR35	Y
GPR37	Y
GPR37L1	Y
GPR39	Y
GPR4	Y
GPR42	Y
GPR44	N
GPR45	Y
GPR50	Y
GPR52	Y
GPR55	Y
GPR56	N
GPR6	Y
GPR61	Y
GPR62	Y
GPR63	Y
GPR64	N
GPR65	Y
GPR68	Y
GPR75	Y
GPR77	N
GPR78	Y
GPR81	N
GPR82	Y
GPR83	Y
GPR84	Y
GPR85	Y
GPR87	Y
GPR88	Y
GPR89A	Y
GPR89B	Y
GPR98	N
GPRC5A	Y
GPRC5B	Y
GPRC5C	Y
GPRC5D	Y
GPRC6A	Y
GPRIN1	Y
GPSM1	Y
GPSM3	Y
GPX5	Y
GPX8	Y
GRAMD1A	Y
GRAMD1B	Y
GRAMD1C	Y
GRAMD4	Y
GRAP	Y
GRAP2	Y
GRASP	Y
GRB10	Y
GRB14	Y
GRB2	Y
GRB7	Y
GREB1	Y
GREB1L	Y
GRHL2	Y
GRIA1	Y
GRIA2	Y
GRIA3	Y
GRIA4	Y
GRID1	Y
GRID2	Y
GRID2IP	Y
GRIK1	Y
GRIK2	Y
GRIK3	Y
GRIK4	Y
GRIK5	Y
GRIN1	Y
GRIN2A	Y
GRIN2B	Y
GRIN2C	Y
GRIN2D	Y
GRIN3A	Y
GRIN3B	Y
GRINA	Y
GRIP1	Y
GRIP2	Y
GRIPAP1	Y
GRK1	Y
GRK4	Y
GRK5	Y
GRK6	Y
GRK7	Y
GRM1	Y
GRM2	Y
GRM3	Y
GRM4	Y
GRM5	Y
GRM6	Y
GRM7	Y
GRM8	Y
GRPEL1	Y
GRPEL2	Y
GRPR	Y
GSDMA	Y
GSDMB	Y
GSDMC	Y
GSDMD	Y
GSG1	Y
GSG1L	Y
GSK3B	Y
GSN	Y
GSR	Y
GSTK1	Y
GSTO1	N
GSTP1	Y
GTDC1	N
GTF2I	Y
GTF3C1	Y
GTF3C3	Y
GTPBP1	Y
GTPBP4	Y
GTSE1	Y
GUCA1A	Y
GUCA1B	Y
GUCA1C	Y
GUCY1A2	Y
GUCY1A3	Y
GUCY1B2	N
GUCY1B3	Y
GUCY2C	Y
GUCY2D	Y
GUCY2F	Y
GUF1	Y
GUSB	Y
GXYLT1	Y
GXYLT2	Y
GYG1	Y
GYPA	Y
GYPB	Y
GYPC	Y
GYPE	Y
GYS1	Y
GZMA	Y
GZMB	Y
GZMH	Y
GZMM	Y
H2BFWT	Y
HACE1	Y
HADH	Y
HADHA	Y
HADHB	Y
HARBI1	Y
HAS1	Y
HAS2	Y
HAS3	Y
HAUS1	N
HAVCR1	Y
HAVCR2	Y
HAX1	Y
HBA1	Y
HBA2	Y
HBD	Y
HBEGF	Y
HBS1L	Y
HCCS	Y
HCFC1	Y
HCFC2	Y
HCK	Y
HCLS1	Y
HCN1	Y
HCN2	Y
HCN3	Y
HCN4	Y
HCRTR1	Y
HCRTR2	Y
HCST	Y
HDAC11	Y
HDAC2	Y
HDAC3	Y
HDAC6	Y
HDAC7	N
HDAC8	Y
